lat_safBP12,lon_safBP12
-44.13679579723027,-10.0
-44.12759009707752,-9.916666984558105
-44.118702125767975,-9.833333015441895
-44.1097658022455,-9.75
-44.1013716934177,-9.666666984558105
-44.09330954946117,-9.583333015441895
-44.08601867316681,-9.5
-44.079477528112896,-9.416666984558105
-44.07382718363766,-9.333333015441895
-44.06917529968147,-9.25
-44.065621011143634,-9.166666984558105
-44.063408313075065,-9.083333015441895
-44.06203783788798,-9.0
-44.06226761764108,-8.916666984558105
-44.06424066372859,-8.833333015441895
-44.06790066685414,-8.75
-44.073120979068555,-8.666666984558105
-44.079960646461124,-8.583333015441895
-44.08780158867912,-8.5
-44.096840155995075,-8.416666984558105
-44.10705983683335,-8.333333015441895
-44.11814930190064,-8.25
-44.129802183970355,-8.166666984558105
-44.14223139635889,-8.083333015441895
-44.1549833637066,-8.0
-44.167306480954345,-7.916666507720947
-44.179112832584075,-7.833333492279053
-44.19068667886959,-7.75
-44.20205355372588,-7.666666507720947
-44.21265784582343,-7.583333492279053
-44.222698285281126,-7.5
-44.23224164657491,-7.416666507720947
-44.24150649459273,-7.333333492279053
-44.24986252413015,-7.25
-44.257563121793964,-7.166666507720947
-44.26431336028656,-7.083333492279053
-44.270888186880306,-7.0
-44.27668762088452,-6.916666507720947
-44.28192158688102,-6.833333492279053
-44.28660158832657,-6.75
-44.289989967320956,-6.666666507720947
-44.29285202195404,-6.583333492279053
-44.294631025601944,-6.5
-44.29546728954953,-6.416666507720947
-44.294690817424225,-6.333333492279053
-44.29351006569265,-6.25
-44.291835297831774,-6.166666507720947
-44.28956016844963,-6.083333492279053
-44.28647152422176,-6.0
-44.28316097389873,-5.916666507720947
-44.27951232038057,-5.833333492279053
-44.27554167596961,-5.75
-44.271053431273764,-5.666666507720947
-44.267589469544674,-5.583333492279053
-44.26520463585223,-5.5
-44.26506628166851,-5.416666507720947
-44.26682203297892,-5.333333492279053
-44.26892715308611,-5.25
-44.27184978426238,-5.166666507720947
-44.27594823149355,-5.083333492279053
-44.27932511712297,-5.0
-44.28380352362544,-4.916666507720947
-44.28795956875701,-4.833333492279053
-44.29268848148393,-4.75
-44.29856489120967,-4.666666507720947
-44.30330404688652,-4.583333492279053
-44.30770106267678,-4.5
-44.30949105325829,-4.416666507720947
-44.30998864169684,-4.333333492279053
-44.31025738461307,-4.25
-44.30924038785265,-4.166666507720947
-44.307759406015784,-4.083333492279053
-44.30722991432041,-4.0
-44.30627755287043,-3.9166667461395264
-44.30667060525749,-3.8333332538604736
-44.307184318705616,-3.75
-44.30789518779337,-3.6666667461395264
-44.30967262229382,-3.5833332538604736
-44.31252135306229,-3.5
-44.31760866725255,-3.4166667461395264
-44.32379670065757,-3.3333332538604736
-44.331977116308934,-3.25
-44.342028087594095,-3.1666667461395264
-44.35316826346059,-3.0833332538604736
-44.365286223085256,-3.0
-44.37814256785828,-2.9166667461395264
-44.39115859314247,-2.8333332538604736
-44.406157350851316,-2.75
-44.421361748621365,-2.6666667461395264
-44.43656239476783,-2.5833332538604736
-44.4513702465239,-2.5
-44.46630371610954,-2.4166667461395264
-44.48092075400041,-2.3333332538604736
-44.49402855731822,-2.25
-44.50644765080177,-2.1666667461395264
-44.51811350384296,-2.0833332538604736
-44.529452590833046,-2.0
-44.539627516828936,-1.9166666269302368
-44.54837248950198,-1.8333333730697632
-44.553803026629915,-1.75
-44.55654531056708,-1.6666666269302368
-44.557286805030095,-1.5833333730697632
-44.55525310914141,-1.5
-44.54976706582192,-1.4166666269302368
-44.54079325230243,-1.3333333730697632
-44.52895252364862,-1.25
-44.51365476990924,-1.1666666269302368
-44.495309085669334,-1.0833333730697632
-44.47316993138147,-1.0
-44.44866879268928,-0.9166666865348816
-44.42179003929124,-0.8333333134651184
-44.39284952926467,-0.75
-44.36397920277173,-0.6666666865348816
-44.33441703771157,-0.5833333134651184
-44.30542019522799,-0.5
-44.27692876924282,-0.4166666567325592
-44.250497646550436,-0.3333333432674408
-44.225494322431985,-0.25
-44.20246904696106,-0.1666666716337204
-44.18162067185423,-0.0833333358168602
-44.16428511312609,-1.8189894035458565e-12
-44.14989792574019,0.0833333358168602
-44.139062996432045,0.1666666716337204
-44.13283786835914,0.25
-44.12986127186493,0.3333333432674408
-44.130193478888714,0.4166666567325592
-44.1340667898945,0.5
-44.141578660347676,0.5833333134651184
-44.1521950711733,0.6666666865348816
-44.16649539147735,0.75
-44.18414210519672,0.8333333134651184
-44.205155488103365,0.9166666865348816
-44.22851833961628,1.0
-44.25401199058249,1.0833333730697632
-44.281771223751115,1.1666666269302368
-44.311167774847995,1.25
-44.341804500307354,1.3333333730697632
-44.373986511365025,1.4166666269302368
-44.40709350522863,1.5
-44.44066977639678,1.5833333730697632
-44.474618320826714,1.6666666269302368
-44.50901164038891,1.75
-44.54350932938712,1.8333333730697632
-44.577812899744266,1.9166666269302368
-44.61234272159597,2.0
-44.64669944594146,2.0833332538604736
-44.680418369320115,2.1666667461395264
-44.712758268275586,2.25
-44.744228329566,2.3333332538604736
-44.77471617250425,2.4166667461395264
-44.80376859734718,2.5
-44.83187018279256,2.5833332538604736
-44.85840371089006,2.6666667461395264
-44.88354229673086,2.75
-44.90733111498427,2.8333332538604736
-44.92868148067851,2.9166667461395264
-44.947507006260025,3.0
-44.963942419460835,3.0833332538604736
-44.9781467375175,3.1666667461395264
-44.990366219549145,3.25
-45.000593666416414,3.3333332538604736
-45.00786929574593,3.4166667461395264
-45.0126535005418,3.5
-45.014239929769396,3.5833332538604736
-45.01339345879024,3.6666667461395264
-45.00950530093393,3.75
-45.0026975711439,3.8333332538604736
-44.993821514556856,3.9166667461395264
-44.98204902921403,4.0
-44.96792121510447,4.083333492279053
-44.95074852660008,4.166666507720947
-44.931375058668614,4.25
-44.90889014961437,4.333333492279053
-44.884014389485486,4.416666507720947
-44.85632740851643,4.5
-44.82665698809177,4.583333492279053
-44.79452171556952,4.666666507720947
-44.75995964786153,4.75
-44.72344782652677,4.833333492279053
-44.68481873669531,4.916666507720947
-44.644858503484635,5.0
-44.6041107667018,5.083333492279053
-44.56301471328399,5.166666507720947
-44.52094525787144,5.25
-44.47922659086802,5.333333492279053
-44.43851731101882,5.416666507720947
-44.399152065240095,5.5
-44.36120392701823,5.583333492279053
-44.32509259441752,5.666666507720947
-44.290997053933516,5.75
-44.259072356913656,5.833333492279053
-44.22971927261016,5.916666507720947
-44.20317833417727,6.0
-44.17864091940447,6.083333492279053
-44.15674708184741,6.166666507720947
-44.137406531095074,6.25
-44.1204494527366,6.333333492279053
-44.10544036948491,6.416666507720947
-44.09229338834316,6.5
-44.080827500664576,6.583333492279053
-44.07103467530043,6.666666507720947
-44.06289852758774,6.75
-44.05637069757653,6.833333492279053
-44.05114463723735,6.916666507720947
-44.04706354546588,7.0
-44.04411250155649,7.083333492279053
-44.042154266594586,7.166666507720947
-44.04137432022699,7.25
-44.04158614510161,7.333333492279053
-44.04257878697107,7.416666507720947
-44.04463325542537,7.5
-44.047892588938346,7.583333492279053
-44.05202351381748,7.666666507720947
-44.057280662820865,7.75
-44.06336756113345,7.833333492279053
-44.07046254247164,7.916666507720947
-44.078423586303806,8.0
-44.08728912933793,8.083333015441895
-44.097086291632735,8.166666984558105
-44.107718023530595,8.25
-44.119212111249375,8.333333015441895
-44.131502468035116,8.416666984558105
-44.14517049061137,8.5
-44.15893705664908,8.583333015441895
-44.173248919137144,8.666666984558105
-44.18806906073602,8.75
-44.20318177810211,8.833333015441895
-44.218851333034515,8.916666984558105
-44.23511608181806,9.0
-44.25208669292443,9.083333015441895
-44.26890342347414,9.166666984558105
-44.28568828413726,9.25
-44.30209171045393,9.333333015441895
-44.318772945597466,9.416666984558105
-44.334827245051265,9.5
-44.3511524235172,9.583333015441895
-44.367266484004894,9.666666984558105
-44.383170888865436,9.75
-44.39879721484275,9.833333015441895
-44.41311494696077,9.916666984558105
-44.42515551198727,10.0
